TimeSeries ID,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/sent_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="1345602841643241709" resource.labels."zone"="europe-central2-c" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240520-173618
instance_name,instance-20240520-173618
project_id,ddls-owen-gombas
Wed May 22 2024 13:45:00 GMT+0200 (Central European Summer Time),260.18333333333334
Wed May 22 2024 13:46:00 GMT+0200 (Central European Summer Time),273.4166666666667
Wed May 22 2024 13:47:00 GMT+0200 (Central European Summer Time),277
Wed May 22 2024 13:48:00 GMT+0200 (Central European Summer Time),273.73333333333335
Wed May 22 2024 13:49:00 GMT+0200 (Central European Summer Time),271.98333333333335
Wed May 22 2024 13:50:00 GMT+0200 (Central European Summer Time),172.13333333333333
Wed May 22 2024 13:51:00 GMT+0200 (Central European Summer Time),287.43333333333334
Wed May 22 2024 13:52:00 GMT+0200 (Central European Summer Time),11271.733333333334
Wed May 22 2024 13:53:00 GMT+0200 (Central European Summer Time),86197.56666666667
Wed May 22 2024 13:54:00 GMT+0200 (Central European Summer Time),1201.9666666666667
Wed May 22 2024 13:55:00 GMT+0200 (Central European Summer Time),3084.7833333333333
Wed May 22 2024 13:56:00 GMT+0200 (Central European Summer Time),909824.1666666666
Wed May 22 2024 13:57:00 GMT+0200 (Central European Summer Time),8104567.85
Wed May 22 2024 13:58:00 GMT+0200 (Central European Summer Time),9048459.133333333
Wed May 22 2024 13:59:00 GMT+0200 (Central European Summer Time),8442794.75
Wed May 22 2024 14:00:00 GMT+0200 (Central European Summer Time),7772679.133333334
Wed May 22 2024 14:01:00 GMT+0200 (Central European Summer Time),8981899.5
Wed May 22 2024 14:02:00 GMT+0200 (Central European Summer Time),8229291.6
Wed May 22 2024 14:03:00 GMT+0200 (Central European Summer Time),7137850.2
Wed May 22 2024 14:04:00 GMT+0200 (Central European Summer Time),7641361.25
Wed May 22 2024 14:05:00 GMT+0200 (Central European Summer Time),7786844.833333333
Wed May 22 2024 14:06:00 GMT+0200 (Central European Summer Time),8879012.45
Wed May 22 2024 14:07:00 GMT+0200 (Central European Summer Time),7429431.266666667
Wed May 22 2024 14:08:00 GMT+0200 (Central European Summer Time),7420900.066666666
Wed May 22 2024 14:09:00 GMT+0200 (Central European Summer Time),9030191.083333334
Wed May 22 2024 14:10:00 GMT+0200 (Central European Summer Time),9054892
Wed May 22 2024 14:11:00 GMT+0200 (Central European Summer Time),8508808.9
Wed May 22 2024 14:12:00 GMT+0200 (Central European Summer Time),8882786.7
Wed May 22 2024 14:13:00 GMT+0200 (Central European Summer Time),7759664.166666667
Wed May 22 2024 14:14:00 GMT+0200 (Central European Summer Time),8379741.783333333
Wed May 22 2024 14:15:00 GMT+0200 (Central European Summer Time),7681082.85
Wed May 22 2024 14:16:00 GMT+0200 (Central European Summer Time),7607297.283333333
Wed May 22 2024 14:17:00 GMT+0200 (Central European Summer Time),7744732.55
Wed May 22 2024 14:18:00 GMT+0200 (Central European Summer Time),8294513.983333333
Wed May 22 2024 14:19:00 GMT+0200 (Central European Summer Time),7643560.716666667
Wed May 22 2024 14:20:00 GMT+0200 (Central European Summer Time),7668084.133333334
Wed May 22 2024 14:21:00 GMT+0200 (Central European Summer Time),8170983.266666667
Wed May 22 2024 14:22:00 GMT+0200 (Central European Summer Time),8135924.85
Wed May 22 2024 14:23:00 GMT+0200 (Central European Summer Time),9262873.183333334
