TimeSeries ID,total direction=Write,total direction=Read
direction,Write,Read
Wed May 22 2024 15:41:00 GMT+0200 (Central European Summer Time),32894.28333333333,468.81666666666666
Wed May 22 2024 15:42:00 GMT+0200 (Central European Summer Time),32794.76666666666,2863.35
Wed May 22 2024 15:43:00 GMT+0200 (Central European Summer Time),40363.76666666667,163018.75
Wed May 22 2024 15:44:00 GMT+0200 (Central European Summer Time),62310.28333333333,1422791.65
Wed May 22 2024 15:45:00 GMT+0200 (Central European Summer Time),274404.5,1226090.3666666667
Wed May 22 2024 15:46:00 GMT+0200 (Central European Summer Time),244870.53333333333,163427.01666666666
Wed May 22 2024 15:47:00 GMT+0200 (Central European Summer Time),77984.38333333333,229523.96666666667
Wed May 22 2024 15:48:00 GMT+0200 (Central European Summer Time),249330.05,714594.2
Wed May 22 2024 15:49:00 GMT+0200 (Central European Summer Time),75060.33333333334,173268.26666666666
Wed May 22 2024 15:50:00 GMT+0200 (Central European Summer Time),283834.8166666667,337579.2166666667
Wed May 22 2024 15:51:00 GMT+0200 (Central European Summer Time),283470.1333333333,770625.2333333333
Wed May 22 2024 15:52:00 GMT+0200 (Central European Summer Time),258773.94999999998,21782.583333333332
Wed May 22 2024 15:53:00 GMT+0200 (Central European Summer Time),72600.2,11220.1
Wed May 22 2024 15:54:00 GMT+0200 (Central European Summer Time),249285.96666666667,37553.73333333333
Wed May 22 2024 15:55:00 GMT+0200 (Central European Summer Time),74051.05,217497.8
Wed May 22 2024 15:56:00 GMT+0200 (Central European Summer Time),281629.0833333333,50595.166666666664
Wed May 22 2024 15:57:00 GMT+0200 (Central European Summer Time),249069.63333333333,20416.433333333334
Wed May 22 2024 15:58:00 GMT+0200 (Central European Summer Time),72932.8,73092.28333333333
Wed May 22 2024 15:59:00 GMT+0200 (Central European Summer Time),253472.48333333334,12232.5
Wed May 22 2024 16:00:00 GMT+0200 (Central European Summer Time),79539.56666666667,14402.933333333332
Wed May 22 2024 16:01:00 GMT+0200 (Central European Summer Time),258243.41666666666,24119.433333333334
Wed May 22 2024 16:02:00 GMT+0200 (Central European Summer Time),81048.43333333333,95128.13333333333
Wed May 22 2024 16:03:00 GMT+0200 (Central European Summer Time),270214.3,20714.466666666667
Wed May 22 2024 16:04:00 GMT+0200 (Central European Summer Time),253711.66666666666,28877.066666666666
Wed May 22 2024 16:05:00 GMT+0200 (Central European Summer Time),71068.63333333333,131189.06666666665
Wed May 22 2024 16:06:00 GMT+0200 (Central European Summer Time),258012.83333333334,20217
Wed May 22 2024 16:07:00 GMT+0200 (Central European Summer Time),71562.66666666667,38516.833333333336
Wed May 22 2024 16:08:00 GMT+0200 (Central European Summer Time),269955.9,109749.63333333333
Wed May 22 2024 16:09:00 GMT+0200 (Central European Summer Time),259179.31666666665,16182.483333333334
Wed May 22 2024 16:10:00 GMT+0200 (Central European Summer Time),81328.53333333333,65616.38333333333
Wed May 22 2024 16:11:00 GMT+0200 (Central European Summer Time),255086.71666666667,15122.533333333333
Wed May 22 2024 16:12:00 GMT+0200 (Central European Summer Time),70429.25,30566.016666666666
Wed May 22 2024 16:13:00 GMT+0200 (Central European Summer Time),280601.9666666667,11817.366666666667
Wed May 22 2024 16:14:00 GMT+0200 (Central European Summer Time),255807.9,68809.65
Wed May 22 2024 16:15:00 GMT+0200 (Central European Summer Time),76821.41666666667,201891.33333333334
Wed May 22 2024 16:16:00 GMT+0200 (Central European Summer Time),275406.6333333333,101044.96666666666
Wed May 22 2024 16:17:00 GMT+0200 (Central European Summer Time),256922.75,5619.566666666667
Wed May 22 2024 16:18:00 GMT+0200 (Central European Summer Time),74680.41666666667,10785.1
Wed May 22 2024 16:19:00 GMT+0200 (Central European Summer Time),282649.05,4186.066666666667
Wed May 22 2024 16:20:00 GMT+0200 (Central European Summer Time),251138.23333333334,6915.583333333333
Wed May 22 2024 16:21:00 GMT+0200 (Central European Summer Time),67346.15,5389.316666666667
Wed May 22 2024 16:22:00 GMT+0200 (Central European Summer Time),252942.13333333333,2393.05
Wed May 22 2024 16:23:00 GMT+0200 (Central European Summer Time),72782.3,21645.433333333334
Wed May 22 2024 16:24:00 GMT+0200 (Central European Summer Time),285962.4333333333,65980.61666666667
Wed May 22 2024 16:25:00 GMT+0200 (Central European Summer Time),257279.51666666666,107654.01666666666
Wed May 22 2024 16:26:00 GMT+0200 (Central European Summer Time),75594.43333333333,12012.416666666666
Wed May 22 2024 16:27:00 GMT+0200 (Central European Summer Time),253388.73333333334,5031.05
Wed May 22 2024 16:28:00 GMT+0200 (Central European Summer Time),78665.51666666668,8645.449999999999
Wed May 22 2024 16:29:00 GMT+0200 (Central European Summer Time),281390.85,7840.033333333333
Wed May 22 2024 16:30:00 GMT+0200 (Central European Summer Time),275886.6,29421.966666666667
Wed May 22 2024 16:31:00 GMT+0200 (Central European Summer Time),249492.19999999998,11277.266666666666
Wed May 22 2024 16:32:00 GMT+0200 (Central European Summer Time),76777.13333333333,43839.75
Wed May 22 2024 16:33:00 GMT+0200 (Central European Summer Time),260907.18333333335,1248.0166666666667
Wed May 22 2024 16:34:00 GMT+0200 (Central European Summer Time),76026.56666666667,15206.483333333334
Wed May 22 2024 16:35:00 GMT+0200 (Central European Summer Time),283924.7333333333,76641.85
Wed May 22 2024 16:36:00 GMT+0200 (Central European Summer Time),259723.61666666667,5608.2
Wed May 22 2024 16:37:00 GMT+0200 (Central European Summer Time),64512.73333333333,3171.233333333333
Wed May 22 2024 16:38:00 GMT+0200 (Central European Summer Time),257075.58333333334,12621.4
