TimeSeries ID,instance/network/received_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/received_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="1345602841643241709" resource.labels."zone"="europe-central2-c" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240520-173618
instance_name,instance-20240520-173618
project_id,ddls-owen-gombas
Wed May 22 2024 18:20:00 GMT+0200 (Central European Summer Time),258592.68333333332
Wed May 22 2024 18:21:00 GMT+0200 (Central European Summer Time),258530.81666666668
Wed May 22 2024 18:22:00 GMT+0200 (Central European Summer Time),249428.85
Wed May 22 2024 18:23:00 GMT+0200 (Central European Summer Time),233725.5
Wed May 22 2024 18:24:00 GMT+0200 (Central European Summer Time),1652142.15
Wed May 22 2024 18:25:00 GMT+0200 (Central European Summer Time),3081401.7333333334
Wed May 22 2024 18:26:00 GMT+0200 (Central European Summer Time),1436067.95
Wed May 22 2024 18:27:00 GMT+0200 (Central European Summer Time),349635.68333333335
Wed May 22 2024 18:28:00 GMT+0200 (Central European Summer Time),766962.0166666667
Wed May 22 2024 18:29:00 GMT+0200 (Central European Summer Time),2808807.8
Wed May 22 2024 18:30:00 GMT+0200 (Central European Summer Time),3609752.4
Wed May 22 2024 18:31:00 GMT+0200 (Central European Summer Time),3460980.966666667
Wed May 22 2024 18:32:00 GMT+0200 (Central European Summer Time),3569209.9166666665
Wed May 22 2024 18:33:00 GMT+0200 (Central European Summer Time),3594697.3333333335
Wed May 22 2024 18:34:00 GMT+0200 (Central European Summer Time),3477390.15
Wed May 22 2024 18:35:00 GMT+0200 (Central European Summer Time),3495146.566666667
Wed May 22 2024 18:36:00 GMT+0200 (Central European Summer Time),3551313.7
Wed May 22 2024 18:37:00 GMT+0200 (Central European Summer Time),3651392.35
Wed May 22 2024 18:38:00 GMT+0200 (Central European Summer Time),1518671
Wed May 22 2024 18:39:00 GMT+0200 (Central European Summer Time),347493.2
Wed May 22 2024 18:40:00 GMT+0200 (Central European Summer Time),256598.71666666667
Wed May 22 2024 18:41:00 GMT+0200 (Central European Summer Time),258585.1
Wed May 22 2024 18:42:00 GMT+0200 (Central European Summer Time),245111.1
Wed May 22 2024 18:43:00 GMT+0200 (Central European Summer Time),236126.31666666668
Wed May 22 2024 18:44:00 GMT+0200 (Central European Summer Time),251439.18333333332
Wed May 22 2024 18:45:00 GMT+0200 (Central European Summer Time),258626.98333333334
Wed May 22 2024 18:46:00 GMT+0200 (Central European Summer Time),2524537.3333333335
Wed May 22 2024 18:47:00 GMT+0200 (Central European Summer Time),3667798.3333333335
Wed May 22 2024 18:48:00 GMT+0200 (Central European Summer Time),3663784.0833333335
Wed May 22 2024 18:49:00 GMT+0200 (Central European Summer Time),1983989.9
Wed May 22 2024 18:50:00 GMT+0200 (Central European Summer Time),2714175.966666667
Wed May 22 2024 18:51:00 GMT+0200 (Central European Summer Time),3583076.25
Wed May 22 2024 18:52:00 GMT+0200 (Central European Summer Time),3633619.1166666667
Wed May 22 2024 18:53:00 GMT+0200 (Central European Summer Time),3459450.3333333335
Wed May 22 2024 18:54:00 GMT+0200 (Central European Summer Time),3569884.35
Wed May 22 2024 18:55:00 GMT+0200 (Central European Summer Time),1507884.8833333333
Wed May 22 2024 18:56:00 GMT+0200 (Central European Summer Time),883923.4166666666
Wed May 22 2024 18:57:00 GMT+0200 (Central European Summer Time),2818769.3666666667
Wed May 22 2024 18:58:00 GMT+0200 (Central European Summer Time),3457093.55
Wed May 22 2024 18:59:00 GMT+0200 (Central European Summer Time),3538147.35
Wed May 22 2024 19:00:00 GMT+0200 (Central European Summer Time),1494424.6833333333
Wed May 22 2024 19:01:00 GMT+0200 (Central European Summer Time),2533717.2
Wed May 22 2024 19:02:00 GMT+0200 (Central European Summer Time),3949127.1333333333
Wed May 22 2024 19:03:00 GMT+0200 (Central European Summer Time),1666761.35
Wed May 22 2024 19:04:00 GMT+0200 (Central European Summer Time),349429.88333333336
Wed May 22 2024 19:05:00 GMT+0200 (Central European Summer Time),254026
Wed May 22 2024 19:06:00 GMT+0200 (Central European Summer Time),237168.38333333333
Wed May 22 2024 19:07:00 GMT+0200 (Central European Summer Time),243923.41666666666
Wed May 22 2024 19:08:00 GMT+0200 (Central European Summer Time),256050.53333333333
Wed May 22 2024 19:09:00 GMT+0200 (Central European Summer Time),258428.71666666667
Wed May 22 2024 19:10:00 GMT+0200 (Central European Summer Time),256600.01666666666
Wed May 22 2024 19:11:00 GMT+0200 (Central European Summer Time),244190.73333333334
Wed May 22 2024 19:12:00 GMT+0200 (Central European Summer Time),237551.66666666666
Wed May 22 2024 19:13:00 GMT+0200 (Central European Summer Time),251800.56666666668
Wed May 22 2024 19:14:00 GMT+0200 (Central European Summer Time),2254432
Wed May 22 2024 19:15:00 GMT+0200 (Central European Summer Time),1732881.1666666667
Wed May 22 2024 19:16:00 GMT+0200 (Central European Summer Time),343047.18333333335
Wed May 22 2024 19:17:00 GMT+0200 (Central European Summer Time),1523.6166666666666
