TimeSeries ID,instance/network/received_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/received_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="987861714045355492" resource.labels."zone"="europe-west4-b" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240521-124408
instance_name,instance-20240521-124408
project_id,ddls-owen-gombas
Wed May 22 2024 13:31:00 GMT+0200 (Central European Summer Time),253.56666666666666
Wed May 22 2024 13:32:00 GMT+0200 (Central European Summer Time),2691.2
Wed May 22 2024 13:33:00 GMT+0200 (Central European Summer Time),1825.5833333333333
Wed May 22 2024 13:34:00 GMT+0200 (Central European Summer Time),1789.6666666666667
Wed May 22 2024 13:35:00 GMT+0200 (Central European Summer Time),1799.3333333333333
Wed May 22 2024 13:36:00 GMT+0200 (Central European Summer Time),2017.8166666666666
Wed May 22 2024 13:37:00 GMT+0200 (Central European Summer Time),1911.8666666666666
Wed May 22 2024 13:38:00 GMT+0200 (Central European Summer Time),1679.0666666666666
Wed May 22 2024 13:39:00 GMT+0200 (Central European Summer Time),2097.65
Wed May 22 2024 13:40:00 GMT+0200 (Central European Summer Time),2140.5666666666666
Wed May 22 2024 13:41:00 GMT+0200 (Central European Summer Time),2174.45
Wed May 22 2024 13:42:00 GMT+0200 (Central European Summer Time),2304.55
Wed May 22 2024 13:43:00 GMT+0200 (Central European Summer Time),2292.5333333333333
Wed May 22 2024 13:44:00 GMT+0200 (Central European Summer Time),2244.0833333333335
Wed May 22 2024 13:45:00 GMT+0200 (Central European Summer Time),2108.866666666667
Wed May 22 2024 13:46:00 GMT+0200 (Central European Summer Time),2155.5
Wed May 22 2024 13:47:00 GMT+0200 (Central European Summer Time),2190.6666666666665
Wed May 22 2024 13:48:00 GMT+0200 (Central European Summer Time),2221.5
Wed May 22 2024 13:49:00 GMT+0200 (Central European Summer Time),2322.5666666666666
Wed May 22 2024 13:50:00 GMT+0200 (Central European Summer Time),2309.05
Wed May 22 2024 13:51:00 GMT+0200 (Central European Summer Time),2297.5
Wed May 22 2024 13:52:00 GMT+0200 (Central European Summer Time),81510
Wed May 22 2024 13:53:00 GMT+0200 (Central European Summer Time),562378.8666666667
Wed May 22 2024 13:54:00 GMT+0200 (Central European Summer Time),4334
