TimeSeries ID,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/sent_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="987861714045355492" resource.labels."zone"="europe-west4-b" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240521-124408
instance_name,instance-20240521-124408
project_id,ddls-owen-gombas
Wed May 22 2024 18:17:00 GMT+0200 (Central European Summer Time),1951177.1833333333
Wed May 22 2024 18:18:00 GMT+0200 (Central European Summer Time),251622
Wed May 22 2024 18:19:00 GMT+0200 (Central European Summer Time),259079.25
Wed May 22 2024 18:20:00 GMT+0200 (Central European Summer Time),259034.73333333334
Wed May 22 2024 18:21:00 GMT+0200 (Central European Summer Time),253570.98333333334
Wed May 22 2024 18:22:00 GMT+0200 (Central European Summer Time),238873.98333333334
Wed May 22 2024 18:23:00 GMT+0200 (Central European Summer Time),241341.21666666667
Wed May 22 2024 18:24:00 GMT+0200 (Central European Summer Time),1348085.3
Wed May 22 2024 18:25:00 GMT+0200 (Central European Summer Time),2993477.433333333
Wed May 22 2024 18:26:00 GMT+0200 (Central European Summer Time),1947102.8833333333
Wed May 22 2024 18:27:00 GMT+0200 (Central European Summer Time),258789.48333333334
Wed May 22 2024 18:28:00 GMT+0200 (Central European Summer Time),916771.8666666667
Wed May 22 2024 18:29:00 GMT+0200 (Central European Summer Time),2563666.6666666665
Wed May 22 2024 18:30:00 GMT+0200 (Central European Summer Time),3593174.7666666666
Wed May 22 2024 18:31:00 GMT+0200 (Central European Summer Time),3511018.316666667
Wed May 22 2024 18:32:00 GMT+0200 (Central European Summer Time),3466258.8
Wed May 22 2024 18:33:00 GMT+0200 (Central European Summer Time),3592694.6666666665
Wed May 22 2024 18:34:00 GMT+0200 (Central European Summer Time),3488362.6166666667
Wed May 22 2024 18:35:00 GMT+0200 (Central European Summer Time),3494014.933333333
Wed May 22 2024 18:36:00 GMT+0200 (Central European Summer Time),3616480.2333333334
Wed May 22 2024 18:37:00 GMT+0200 (Central European Summer Time),3433427
Wed May 22 2024 18:38:00 GMT+0200 (Central European Summer Time),1999758.7833333334
Wed May 22 2024 18:39:00 GMT+0200 (Central European Summer Time),255148.18333333332
Wed May 22 2024 18:40:00 GMT+0200 (Central European Summer Time),259016.95
Wed May 22 2024 18:41:00 GMT+0200 (Central European Summer Time),251022.4
Wed May 22 2024 18:42:00 GMT+0200 (Central European Summer Time),237753.66666666666
Wed May 22 2024 18:43:00 GMT+0200 (Central European Summer Time),245267.23333333334
Wed May 22 2024 18:44:00 GMT+0200 (Central European Summer Time),259674.65
Wed May 22 2024 18:45:00 GMT+0200 (Central European Summer Time),491068.4666666667
Wed May 22 2024 18:46:00 GMT+0200 (Central European Summer Time),2028682.7333333334
Wed May 22 2024 18:47:00 GMT+0200 (Central European Summer Time),3728273.1166666667
Wed May 22 2024 18:48:00 GMT+0200 (Central European Summer Time),3499989
Wed May 22 2024 18:49:00 GMT+0200 (Central European Summer Time),2490427.25
Wed May 22 2024 18:50:00 GMT+0200 (Central European Summer Time),2364139.566666667
Wed May 22 2024 18:51:00 GMT+0200 (Central European Summer Time),3634170.8666666667
Wed May 22 2024 18:52:00 GMT+0200 (Central European Summer Time),3641540.5166666666
Wed May 22 2024 18:53:00 GMT+0200 (Central European Summer Time),3545487.25
Wed May 22 2024 18:54:00 GMT+0200 (Central European Summer Time),3340718.05
Wed May 22 2024 18:55:00 GMT+0200 (Central European Summer Time),1975648.05
Wed May 22 2024 18:56:00 GMT+0200 (Central European Summer Time),889683.0666666667
Wed May 22 2024 18:57:00 GMT+0200 (Central European Summer Time),2553785.6666666665
Wed May 22 2024 18:58:00 GMT+0200 (Central European Summer Time),3517205.7333333334
Wed May 22 2024 18:59:00 GMT+0200 (Central European Summer Time),3290884.7333333334
Wed May 22 2024 19:00:00 GMT+0200 (Central European Summer Time),2203722.433333333
Wed May 22 2024 19:01:00 GMT+0200 (Central European Summer Time),1970851.1
Wed May 22 2024 19:02:00 GMT+0200 (Central European Summer Time),3672268.8833333333
Wed May 22 2024 19:03:00 GMT+0200 (Central European Summer Time),2298657.3666666667
Wed May 22 2024 19:04:00 GMT+0200 (Central European Summer Time),256176.11666666667
Wed May 22 2024 19:05:00 GMT+0200 (Central European Summer Time),243645.41666666666
Wed May 22 2024 19:06:00 GMT+0200 (Central European Summer Time),238894.51666666666
Wed May 22 2024 19:07:00 GMT+0200 (Central European Summer Time),253989.21666666667
Wed May 22 2024 19:08:00 GMT+0200 (Central European Summer Time),259111.9
Wed May 22 2024 19:09:00 GMT+0200 (Central European Summer Time),257850.38333333333
Wed May 22 2024 19:10:00 GMT+0200 (Central European Summer Time),249472.5
Wed May 22 2024 19:11:00 GMT+0200 (Central European Summer Time),238609.28333333333
Wed May 22 2024 19:12:00 GMT+0200 (Central European Summer Time),246209.4
Wed May 22 2024 19:13:00 GMT+0200 (Central European Summer Time),330065.25
Wed May 22 2024 19:14:00 GMT+0200 (Central European Summer Time),1813627.7666666666
Wed May 22 2024 19:15:00 GMT+0200 (Central European Summer Time),2234652.3833333333
Wed May 22 2024 19:16:00 GMT+0200 (Central European Summer Time),34480.76666666667
Wed May 22 2024 19:17:00 GMT+0200 (Central European Summer Time),465.4
Wed May 22 2024 19:18:00 GMT+0200 (Central European Summer Time),541.3
