epoch,start.epoch,end.epoch,start.epoch_calculation,end.epoch_calculation,start.send_data,end.send_data,start.recv_data,end.recv_data,start.calc_gradients,end.calc_gradients,start.agg_gradients,end.agg_gradients,start.generate_data,end.generate_data,fid,is,start.fid,end.fid,start.is,end.is,size.data,size.feedback,start.swap,end.swap,swap,size.sent,size.recv
0,1716802859.578944,1716802863.164465,1716802859.578944,1716802859.786943,1716802859.595377,1716802859.595767,1716802859.595851,1716802859.6713972,1716802859.769599,1716802859.786942,1716802859.6713989,1716802859.769496,1716802859.578945,1716802859.595377,463.47998046875,1.0485566854476929,1716802860.214299,1716802863.144576,1716802859.790902,1716802860.21429,0.234375,0.234375,,,False,0.46875,0.234375
1,1716802863.164594,1716802863.325139,1716802863.164594,1716802863.325139,1716802863.172429,1716802863.172918,1716802863.172933,1716802863.222844,1716802863.3108659,1716802863.325137,1716802863.222847,1716802863.310753,1716802863.164597,1716802863.1724281,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
2,1716802863.3252668,1716802863.477895,1716802863.3252668,1716802863.4778938,1716802863.334644,1716802863.334985,1716802863.3350642,1716802863.3809438,1716802863.4717891,1716802863.4778922,1716802863.3809469,1716802863.471679,1716802863.32527,1716802863.334644,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
3,1716802863.4780228,1716802863.6229498,1716802863.4780228,1716802863.6229498,1716802863.488885,1716802863.489524,1716802863.489561,1716802863.5333602,1716802863.616842,1716802863.6229482,1716802863.533362,1716802863.6167328,1716802863.478025,1716802863.488884,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
4,1716802863.6230788,1716802863.818273,1716802863.6230788,1716802863.818272,1716802863.665899,1716802863.6664882,1716802863.666528,1716802863.7199502,1716802863.8113852,1716802863.81827,1716802863.7199528,1716802863.811276,1716802863.623082,1716802863.665898,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
5,1716802863.8184,1716802863.9827042,1716802863.8184,1716802863.9827032,1716802863.828246,1716802863.828578,1716802863.82861,1716802863.8763871,1716802863.9766688,1716802863.982701,1716802863.87639,1716802863.976562,1716802863.818403,1716802863.828245,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
6,1716802863.9828339,1716802864.133726,1716802863.9828339,1716802864.133726,1716802863.9937432,1716802863.995235,1716802863.995328,1716802864.03825,1716802864.1269162,1716802864.133725,1716802864.038253,1716802864.126802,1716802863.982837,1716802863.993742,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
7,1716802864.133848,1716802864.2827,1716802864.133848,1716802864.282699,1716802864.144237,1716802864.144562,1716802864.144657,1716802864.190851,1716802864.27728,1716802864.282698,1716802864.1908538,1716802864.2771761,1716802864.13385,1716802864.144236,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
8,1716802864.282825,1716802864.422133,1716802864.282825,1716802864.422133,1716802864.292507,1716802864.292821,1716802864.292907,1716802864.336819,1716802864.417063,1716802864.422132,1716802864.336822,1716802864.416954,1716802864.282827,1716802864.2925062,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
9,1716802864.42226,1716802864.5702348,1716802864.42226,1716802864.570234,1716802864.434125,1716802864.4346519,1716802864.434669,1716802864.478406,1716802864.565017,1716802864.570233,1716802864.4784079,1716802864.5649102,1716802864.4222631,1716802864.434124,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
10,1716802864.570355,1716802864.734229,1716802864.570355,1716802864.734228,1716802864.5796711,1716802864.5803719,1716802864.580439,1716802864.644133,1716802864.72896,1716802864.734226,1716802864.644135,1716802864.728852,1716802864.570357,1716802864.57967,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
11,1716802864.734376,1716802864.883557,1716802864.734376,1716802864.883557,1716802864.7444758,1716802864.74479,1716802864.744871,1716802864.7923,1716802864.877455,1716802864.8835561,1716802864.792303,1716802864.8773499,1716802864.734379,1716802864.744475,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
12,1716802864.88368,1716802865.0236979,1716802864.88368,1716802865.023697,1716802864.89411,1716802864.894689,1716802864.89477,1716802864.939371,1716802865.019191,1716802865.023696,1716802864.939374,1716802865.0190778,1716802864.883683,1716802864.894109,,,,,,,0.234375,0.234375,,,False,0.46875,0.234375
