epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716802859.5810292,1716802859.671208,1716802859.595901,1716802859.6590688,1716802859.5830138,1716802859.5958972,1716802859.6590688,1716802859.671207,,,,,,,,,,1.6983864307403564,2.5332183837890625,0.1171875,0.234375
1,1716802859.671278,1716802863.221256,1716802863.173107,1716802863.208719,1716802859.672384,1716802863.173098,1716802863.208719,1716802863.2212548,,,,,,,,,,1.3954969644546509,2.5332183837890625,0.1171875,0.234375
2,1716802863.221331,1716802863.3807738,1716802863.3350651,1716802863.367838,1716802863.222443,1716802863.335063,1716802863.367838,1716802863.3807738,,,,,,,,,,1.0719373226165771,2.5332183837890625,0.1171875,0.234375
3,1716802863.380832,1716802863.533226,1716802863.489599,1716802863.5198379,1716802863.38187,1716802863.489596,1716802863.5198379,1716802863.5332239,,,,,,,,,,1.0243703126907349,2.5332183837890625,0.1171875,0.234375
4,1716802863.53333,1716802863.717141,1716802863.666615,1716802863.702773,1716802863.534488,1716802863.666612,1716802863.702773,1716802863.71714,,,,,,,,,,1.2784032821655273,2.5332183837890625,0.1171875,0.234375
5,1716802863.717203,1716802863.876207,1716802863.8287501,1716802863.860984,1716802863.718237,1716802863.828745,1716802863.860984,1716802863.8762062,,,,,,,,,,1.1524627208709717,2.5332183837890625,0.1171875,0.234375
6,1716802863.8762932,1716802864.038122,1716802863.995423,1716802864.0243368,1716802863.878247,1716802863.99542,1716802864.0243368,1716802864.038121,,,,,,,,,,1.2625184059143066,2.5332183837890625,0.1171875,0.234375
7,1716802864.038211,1716802864.190609,1716802864.1446831,1716802864.177053,1716802864.039181,1716802864.1446779,1716802864.177053,1716802864.1906078,,,,,,,,,,1.1821082830429077,2.5332183837890625,0.1171875,0.234375
8,1716802864.1906781,1716802864.335496,1716802864.292947,1716802864.322198,1716802864.19179,1716802864.292943,1716802864.322198,1716802864.3354938,,,,,,,,,,1.286919116973877,2.5332183837890625,0.1171875,0.234375
9,1716802864.335571,1716802864.47717,1716802864.43479,1716802864.463854,1716802864.336603,1716802864.434786,1716802864.463854,1716802864.4771688,,,,,,,,,,0.9524282217025757,2.5332183837890625,0.1171875,0.234375
10,1716802864.477233,1716802864.644005,1716802864.580354,1716802864.629968,1716802864.478288,1716802864.58035,1716802864.629969,1716802864.644004,,,,,,,,,,1.3481875658035278,2.5332183837890625,0.1171875,0.234375
11,1716802864.644073,1716802864.792212,1716802864.744908,1716802864.775674,1716802864.645121,1716802864.744904,1716802864.775674,1716802864.7922099,,,,,,,,,,1.0827295780181885,2.5332183837890625,0.1171875,0.234375
12,1716802864.792448,1716802864.938238,1716802864.894853,1716802864.92531,1716802864.794328,1716802864.894849,1716802864.92531,1716802864.938236,,,,,,,,,,1.5355110168457031,2.5332183837890625,0.1171875,0.234375
13,1716802864.938356,1716802865.076607,1716802865.036028,1716802865.0639691,1716802864.9393978,1716802865.036022,1716802865.06397,1716802865.076606,,,,,,,,,,1.0871937274932861,2.5332183837890625,0.1171875,0.234375
14,1716802865.076683,1716802865.220148,1716802865.178299,1716802865.2081401,1716802865.07776,1716802865.1782951,1716802865.208141,1716802865.220147,,,,,,,,,,0.7818425893783569,2.5332183837890625,0.1171875,0.234375
15,1716802865.220267,1716802865.364091,1716802865.319756,1716802865.351489,1716802865.221308,1716802865.319753,1716802865.35149,1716802865.364091,,,,,,,,,,1.0794603824615479,2.5332183837890625,0.1171875,0.234375
16,1716802865.364222,1716802865.508598,1716802865.466294,1716802865.494949,1716802865.365243,1716802865.466291,1716802865.494949,1716802865.508596,,,,,,,,,,0.9883013963699341,2.5332183837890625,0.1171875,0.234375
17,1716802865.508715,1716802865.653536,1716802865.609875,1716802865.641175,1716802865.509705,1716802865.6098711,1716802865.641176,1716802865.653535,,,,,,,,,,0.946448802947998,2.5332183837890625,0.1171875,0.234375
18,1716802865.65359,1716802865.797604,1716802865.753529,1716802865.78558,1716802865.654685,1716802865.7535229,1716802865.78558,1716802865.7976031,,,,,,,,,,0.9580243825912476,2.5332183837890625,0.1171875,0.234375
19,1716802865.797714,1716802865.9442408,1716802865.8974159,1716802865.927291,1716802865.7987342,1716802865.897413,1716802865.927291,1716802865.94424,,,,,,,,,,1.1319082975387573,2.5332183837890625,0.1171875,0.234375
20,1716802865.944316,1716802866.1325161,1716802866.0794492,1716802866.116947,1716802865.945379,1716802866.079446,1716802866.116947,1716802866.132515,,,,,,,,,,0.8930714130401611,2.5332183837890625,0.1171875,0.234375
21,1716802866.132573,1716802866.282742,1716802866.2363698,1716802866.2684531,1716802866.133607,1716802866.236366,1716802866.2684538,1716802866.2827399,,,,,,,,,,0.7615641355514526,2.5332183837890625,0.1171875,0.234375
22,1716802866.2828522,1716802866.425961,1716802866.381676,1716802866.412482,1716802866.283875,1716802866.381672,1716802866.412482,1716802866.4259598,,,,,,,,,,0.7633463144302368,2.5332183837890625,0.1171875,0.234375
23,1716802866.426065,1716802866.604473,1716802866.5554812,1716802866.5921059,1716802866.4270961,1716802866.555478,1716802866.5921059,1716802866.6044722,,,,,,,,,,0.888433575630188,2.5332183837890625,0.1171875,0.234375
24,1716802866.6045709,1716802866.7480571,1716802866.705045,1716802866.735091,1716802866.605571,1716802866.705042,1716802866.735091,1716802866.7480562,,,,,,,,,,0.7281355857849121,2.5332183837890625,0.1171875,0.234375
25,1716802866.7481432,1716802866.89069,1716802866.847573,1716802866.8775492,1716802866.74944,1716802866.84757,1716802866.8775492,1716802866.8906891,,,,,,,,,,0.5044592022895813,2.5332183837890625,0.1171875,0.234375
26,1716802866.890792,1716802867.033053,1716802866.990748,1716802867.019468,1716802866.891807,1716802866.990744,1716802867.019468,1716802867.033053,,,,,,,,,,0.707080066204071,2.5332183837890625,0.1171875,0.234375
27,1716802867.033108,1716802867.175953,1716802867.132311,1716802867.162807,1716802867.0341089,1716802867.132304,1716802867.162807,1716802867.175952,,,,,,,,,,0.6183585524559021,2.5332183837890625,0.1171875,0.234375
28,1716802867.176049,1716802867.315882,1716802867.272809,1716802867.3019578,1716802867.177357,1716802867.272806,1716802867.3019578,1716802867.315881,,,,,,,,,,0.7122461795806885,2.5332183837890625,0.1171875,0.234375
29,1716802867.3159418,1716802867.461184,1716802867.4180632,1716802867.44688,1716802867.316981,1716802867.41806,1716802867.44688,1716802867.461183,,,,,,,,,,0.4753018021583557,2.5332183837890625,0.1171875,0.234375
30,1716802867.461289,1716802867.604852,1716802867.561028,1716802867.5927958,1716802867.462343,1716802867.561023,1716802867.5927958,1716802867.604852,,,,,,,,,,0.5161693096160889,2.5332183837890625,0.1171875,0.234375
31,1716802867.604912,1716802867.747398,1716802867.703361,1716802867.735241,1716802867.60592,1716802867.703357,1716802867.735241,1716802867.747396,,,,,,,,,,0.5170955061912537,2.5332183837890625,0.1171875,0.234375
32,1716802867.747503,1716802867.889122,1716802867.84421,1716802867.8755999,1716802867.748451,1716802867.844207,1716802867.8756008,1716802867.889121,,,,,,,,,,0.505010187625885,2.5332183837890625,0.1171875,0.234375
33,1716802867.889201,1716802868.0390909,1716802867.98519,1716802868.0238369,1716802867.89048,1716802867.985186,1716802868.0238369,1716802868.03909,,,,,,,,,,0.39843496680259705,2.5332183837890625,0.1171875,0.234375
34,1716802868.0391629,1716802868.1825862,1716802868.139023,1716802868.1695921,1716802868.040357,1716802868.1390169,1716802868.1695921,1716802868.182585,,,,,,,,,,0.6839122772216797,2.5332183837890625,0.1171875,0.234375
35,1716802868.182675,1716802868.327759,1716802868.2852921,1716802868.314346,1716802868.184442,1716802868.285289,1716802868.314346,1716802868.327758,,,,,,,,,,0.5639384984970093,2.5332183837890625,0.1171875,0.234375
36,1716802868.3278232,1716802868.465182,1716802868.423541,1716802868.451956,1716802868.3288598,1716802868.4235368,1716802868.451956,1716802868.46518,,,,,,,,,,0.4640466868877411,2.5332183837890625,0.1171875,0.234375
37,1716802868.465376,1716802868.606192,1716802868.565085,1716802868.594569,1716802868.466495,1716802868.565082,1716802868.594569,1716802868.606192,,,,,,,,,,0.43423032760620117,2.5332183837890625,0.1171875,0.234375
38,1716802868.6062562,1716802868.7542028,1716802868.7099361,1716802868.741979,1716802868.6073291,1716802868.709933,1716802868.741979,1716802868.7542028,,,,,,,,,,0.3451785445213318,2.5332183837890625,0.1171875,0.234375
39,1716802868.754273,1716802868.900609,1716802868.8539898,1716802868.886892,1716802868.755429,1716802868.853987,1716802868.886893,1716802868.900608,,,,,,,,,,0.3990507125854492,2.5332183837890625,0.1171875,0.234375
40,1716802868.900693,1716802869.039521,1716802868.996618,1716802869.0278342,1716802868.9016068,1716802868.996615,1716802869.0278342,1716802869.03952,,,,,,,,,,0.3330920338630676,2.5332183837890625,0.1171875,0.234375
41,1716802869.039634,1716802869.192588,1716802869.148028,1716802869.179041,1716802869.040734,1716802869.1480231,1716802869.179041,1716802869.192587,,,,,,,,,,0.44098207354545593,2.5332183837890625,0.1171875,0.234375
42,1716802869.192655,1716802869.343047,1716802869.2992158,1716802869.329232,1716802869.193863,1716802869.299212,1716802869.329232,1716802869.343046,,,,,,,,,,0.27956655621528625,2.5332183837890625,0.1171875,0.234375
43,1716802869.343115,1716802869.5359209,1716802869.4471629,1716802869.520021,1716802869.344259,1716802869.44716,1716802869.520021,1716802869.5359201,,,,,,,,,,0.3574061095714569,2.5332183837890625,0.1171875,0.234375
44,1716802869.536022,1716802869.690179,1716802869.645487,1716802869.6764429,1716802869.536949,1716802869.645483,1716802869.6764429,1716802869.690179,,,,,,,,,,0.22513911128044128,2.5332183837890625,0.1171875,0.234375
45,1716802869.690269,1716802869.845408,1716802869.7962298,1716802869.830386,1716802869.691357,1716802869.796227,1716802869.830386,1716802869.845407,,,,,,,,,,0.16609559953212738,2.5332183837890625,0.1171875,0.234375
46,1716802869.845493,1716802869.99473,1716802869.949436,1716802869.981266,1716802869.846375,1716802869.949433,1716802869.981266,1716802869.994729,,,,,,,,,,0.33869948983192444,2.5332183837890625,0.1171875,0.234375
47,1716802869.994833,1716802870.159598,1716802870.112912,1716802870.1427178,1716802869.9957461,1716802870.112909,1716802870.142719,1716802870.1595972,,,,,,,,,,0.4696354269981384,2.5332183837890625,0.1171875,0.234375
48,1716802870.159669,1716802870.3143628,1716802870.269859,1716802870.3021178,1716802870.160717,1716802870.269857,1716802870.302119,1716802870.314362,,,,,,,,,,0.278852641582489,2.5332183837890625,0.1171875,0.234375
49,1716802870.314435,1716802870.4690711,1716802870.422812,1716802870.4533892,1716802870.315593,1716802870.4228082,1716802870.4533892,1716802870.4690711,,,,,,,,,,0.23359712958335876,2.5332183837890625,0.1171875,0.234375
50,1716802870.469131,1716802870.628305,1716802870.584215,1716802870.61395,1716802870.4701161,1716802870.5842109,1716802870.61395,1716802870.6283038,,,,,,,,,,0.24703142046928406,2.5332183837890625,0.1171875,0.234375
51,1716802870.628382,1716802870.791229,1716802870.743914,1716802870.776266,1716802870.62944,1716802870.743911,1716802870.776267,1716802870.7912278,,,,,,,,,,0.2075691819190979,2.5332183837890625,0.1171875,0.234375
52,1716802870.79131,1716802870.9870799,1716802870.9282718,1716802870.969812,1716802870.792673,1716802870.9282691,1716802870.969812,1716802870.987079,,,,,,,,,,0.2605847716331482,2.5332183837890625,0.1171875,0.234375
